microbe_level,diet_type,tissue,seq_experiment,tray_number,id,ba_avg,ba_high,ba_low,sa_avg,sa_high,sa_low,iaa_avg,iaa_high,iaa_low
axenic,benzoic,sal,third,1,BA1S,1857.669295,2333.292607,1382.045984,114.3052293,160.4250921,68.18536638,,,
axenic,benzoic,sal,third,2,BA2S,2273.29248,2667.914441,1878.670518,73.74311404,112.0085025,35.47772562,,,
axenic,benzoic,sal,third,3,BA3S,7918.005923,8358.66179,7477.350056,8.196110194,45.49523645,-29.10301606,,,
axenic,benzoic,sal,third,4,BA4S,15418.06326,15861.92001,14974.2065,25.49739134,63.06745556,-12.07267288,,,
E. mundtii,benzoic,sal,third,1,BE1S,3943.54996,4630.76235,3256.337571,-19.64279059,46.99427364,-86.27985483,,,
E. mundtii,benzoic,sal,third,2,BE2S,4669.088742,5223.496283,4114.681202,-18.42971666,35.32963271,-72.18906603,,,
E. mundtii,benzoic,sal,third,3,BE3S,5797.595633,6336.751047,5258.44022,38.73685919,84.37343719,-6.899718823,,,
E. mundtii,benzoic,sal,third,4,BE4S,3258.778917,3799.524759,2718.033074,-20.43207257,25.33912661,-66.20327176,,,
xenic,benzoic,sal,third,1,BX1S,7557.832461,8108.859468,7006.805454,359.5087015,412.94025,306.0771531,,,
xenic,benzoic,sal,third,2,BX2S,10543.55891,10992.85509,10094.26273,108.5035135,146.5339951,70.47303179,,,
xenic,benzoic,sal,third,3,BX3S,7555.967852,7965.1483,7146.787404,13.3180988,47.95300176,-21.31680415,,,
xenic,benzoic,sal,third,4,BX4S,2507.483952,2950.268591,2064.699313,-10.02657619,27.45273908,-47.50589146,,,
axenic,control,sal,third,1,CA1S,-470.478578,47.35430495,-988.3114609,-15.02630277,28.80543882,-58.85804436,-6.967685787,40.54251391,-54.47788549
axenic,control,sal,third,2,CA2S,-459.2379855,-19.48893849,-898.9870326,-41.95769368,0.6835420745,-84.59892943,-53.88806262,7.062416938,-114.8385422
axenic,control,sal,third,3,CA3S,511.6959193,971.1265974,52.26524119,-5.261750396,33.62656169,-44.15006248,-39.79653201,2.355374489,-81.94843851
axenic,control,sal,third,4,CA4S,309.1166706,739.4285029,-121.1951616,0.7094907972,37.13305071,-35.71406912,-0.5453760051,38.93493079,-40.0256828
E. mundtii,control,sal,third,1,CE1S,-359.8399913,67.43390551,-787.1138881,5.185571746,46.61712705,-36.24598356,-54.43780026,4.783587683,-113.6591882
E. mundtii,control,sal,third,2,CE2S,625.010946,1196.963029,53.05886264,220.349205,275.8097996,164.8886104,-34.18030289,45.09389679,-113.4545026
E. mundtii,control,sal,third,3,CE3S,549.9479833,1008.230085,91.66588193,96.84084367,135.631935,58.04975236,-16.95570922,25.09081751,-59.00223595
E. mundtii,control,sal,third,4,CE4S,628.0255057,1111.700547,144.3504646,29.82824873,70.76871449,-11.11221703,38.03307341,82.40935493,-6.343208099
xenic,control,sal,third,1,CX1S,-583.8566169,-56.92700073,-1110.786233,-21.04480301,30.05008881,-72.13969483,376.9366846,449.9706412,303.9027281
xenic,control,sal,third,2,CX2S,-641.1339579,-59.98650339,-1222.281412,-23.9710258,32.38121823,-80.32326983,-60.76725788,19.78144662,-141.3159624
xenic,control,sal,third,3,CX3S,-553.2524772,149.0955709,-1255.600525,25.44459399,84.89454235,-34.00535437,33.13580965,97.57493108,-31.30331178
xenic,control,sal,third,4,CX4S,-635.7807199,-76.90010842,-1194.661331,15.88356926,63.18977818,-31.42263965,-49.43922308,1.837029031,-100.7154752
axenic,benzoic,sal,second,1,BA1S,10220.28756,10249.15819,10191.41694,22.62851378,55.39453263,-10.13750506,,,
axenic,benzoic,sal,second,2,BA2S,3750.867323,3779.737947,3721.996699,-12.67687573,20.08914311,-45.44289458,,,
axenic,benzoic,sal,second,3,BA3S,8663.233445,8694.324886,8632.142004,24.64113217,59.92761401,-10.64534966,,,
E. mundtii,benzoic,sal,second,1,BM1S,13122.66514,13173.04561,13072.28468,-4.995438506,52.18265671,-62.17353372,,,
E. mundtii,benzoic,sal,second,2,BM2S,16349.93656,16412.11944,16287.75368,240.188049,310.7610127,169.6150853,,,
E. mundtii,benzoic,sal,second,3,BM3S,10860.10686,10905.47499,10814.73874,56.33981632,107.8292745,4.850358129,,,
axenic,control,sal,second,1,CA1S,146.7883258,187.3917604,106.1848912,-40.0086674,6.073222121,-86.09055692,288.4889159,327.6414915,249.3363403
axenic,control,sal,second,2,CA2S,109.8584734,151.7038954,68.01305133,-24.41814777,23.07330543,-71.90960097,205.3123842,245.662568,164.9622004
axenic,control,sal,second,3,CA3S,50.6748474,83.48721709,17.86247772,-34.54022702,2.699381118,-71.77983516,17.13033869,48.77024297,-14.50956559
E. mundtii,control,sal,second,1,CM1S,264.483766,321.6680244,207.2995075,252.2865349,317.1864307,187.386639,111.2085467,166.3494732,56.06762032
E. mundtii,control,sal,second,2,CM2S,289.1250142,337.4519282,240.7981001,16.59005055,71.43751689,-38.25741578,-8.167562163,38.43251424,-54.76763857
E. mundtii,control,sal,second,3,CM3S,224.8057291,267.453941,182.1575172,-40.57813133,7.824428886,-88.98069155,40.74252459,81.86681264,-0.3817634656
axenic,salicylic,sal,third,1,SA1S,,,,4321.106813,4357.107825,4285.1058,,,
axenic,salicylic,sal,third,2,SA2S,,,,3927.462016,3963.971278,3890.952753,,,
axenic,salicylic,sal,third,3,SA3S,,,,14112.44477,14149.56543,14075.32411,,,
axenic,salicylic,sal,third,4,SA4S,,,,15712.60216,15744.52898,15680.67533,,,
E. mundtii,salicylic,sal,third,1,SE1S,,,,12889.89239,12927.18079,12852.60399,,,
E. mundtii,salicylic,sal,third,2,SE2S,,,,8492.991858,8528.176521,8457.807195,,,
E. mundtii,salicylic,sal,third,3,SE3S,,,,9356.098057,9401.734635,9310.461479,,,
E. mundtii,salicylic,sal,third,4,SE4S,,,,30631.67786,30675.14127,30588.21445,,,
xenic,salicylic,sal,third,1,SX1S,,,,17468.81828,17513.29937,17424.33719,,,
xenic,salicylic,sal,third,2,SX2S,,,,33139.20539,33183.35034,33095.06043,,,
xenic,salicylic,sal,third,3,SX3S,,,,10494.66956,10531.70163,10457.63749,,,
xenic,salicylic,sal,third,4,SX4S,,,,29167.34966,29205.56748,29129.13183,,,
axenic,salicylic,sal,second,1,SA1S,,,,17861.54052,17897.20106,17825.87998,,,
axenic,salicylic,sal,second,2,SA2S,,,,28218.92152,28257.00429,28180.83875,,,
axenic,salicylic,sal,second,3,SA3S,,,,18914.30779,18950.09479,18878.5208,,,
E. mundtii,salicylic,sal,second,1,SM1S,,,,16818.34181,16886.53055,16750.15307,,,
E. mundtii,salicylic,sal,second,2,SM2S,,,,22078.68034,22135.3766,22021.98409,,,
E. mundtii,salicylic,sal,second,3,SM3S,,,,39603.70769,39663.24712,39544.16826,,,
axenic,indole,sal,third,1,IA1S,,,,,,,11961.93958,12021.86936,11902.0098
axenic,indole,sal,third,2,IA2S,,,,,,,13602.73381,13656.37545,13549.09216
axenic,indole,sal,third,3,IA3S,,,,,,,14683.03536,14717.21953,14648.85119
axenic,indole,sal,third,4,IA4S,,,,,,,13409.12642,13451.70518,13366.54766
E. mundtii,indole,sal,third,1,IE1S,,,,,,,7715.51028,7763.870603,7667.149958
E. mundtii,indole,sal,third,2,IE2S,,,,,,,6950.839928,6987.885326,6913.79453
E. mundtii,indole,sal,third,3,IE3S,,,,,,,5968.127089,5999.330449,5936.92373
E. mundtii,indole,sal,third,4,IE4S,,,,,,,6230.993452,6255.799662,6206.187241
xenic,indole,sal,third,1,IX1S,,,,,,,17296.21347,17327.65013,17264.77682
xenic,indole,sal,third,2,IX2S,,,,,,,35384.71382,35431.97919,35337.44845
xenic,indole,sal,third,3,IX3S,,,,,,,14057.78699,14089.40092,14026.17306
xenic,indole,sal,third,4,IX4S,,,,,,,17968.21828,18004.78048,17931.65608
axenic,indole,sal,second,1,IA1S,,,,,,,45240.66998,45280.00215,45201.3378
axenic,indole,sal,second,2,IA2S,,,,,,,41089.4561,41126.57478,41052.33743
axenic,indole,sal,second,3,IA3S,,,,,,,35926.98754,35964.59462,35889.38046
E. mundtii,indole,sal,second,1,IM1S,,,,,,,32472.46652,32523.35326,32421.57979
E. mundtii,indole,sal,second,2,IM2S,,,,,,,25192.36218,25230.47068,25154.25367
E. mundtii,indole,sal,second,3,IM3S,,,,,,,13845.23565,13883.77234,13806.69896
