microbe_level,color,id,nat_lab,ion,ret_time,area,ratio,standard_mass,total_natural_compound_ng,sample_wt_g,conc_sample_ngperg,num_sal_glands,avg_ratio_blanks,ratio_minus_blanks,adjusted_total_natural_compound,adjusted_conc_sample_ngperg,rep_avg
axenic,blue,AB1.1.B,nat,137,7.115,114052,0.872851392,200,174.5702784,0.0667,2617.245554,,0.205769186,0.667082206,133.4164412,2000.246494,2060.930863
axenic,blue,AB1.1.B,lab,143,7.114,130666,1.203274643,200,240.6549285,0.0667,3608.019918,,0.164918502,1.038356141,207.6712281,3113.511666,
axenic,blue,AB1.2.B,nat,137,7.115,108592,0.872477182,200,174.4954364,0.0667,2616.123485,,0.164918502,0.70755868,141.511736,2121.615232,
axenic,blue,AB1.2.B,lab,143,7.115,124464,1.166277795,200,233.255559,0.0667,3497.084842,,0.164918502,1.001359293,200.2718586,3002.57659,
axenic,blue,AB2.1.B,nat,137,7.115,106719,1.404252799,200,280.8505599,0.0694,4046.838039,,0.164918502,1.239334297,247.8668595,3571.56858,3604.745228
axenic,blue,AB2.1.B,lab,143,7.114,75997,0.738616594,200,147.7233189,0.0694,2128.578081,,0.164918502,0.573698092,114.7396184,1653.308623,
axenic,blue,AB2.2.B,nat,137,7.114,102891,1.427277393,200,285.4554786,0.0694,4113.191335,,0.164918502,1.262358891,252.4717782,3637.921876,
axenic,blue,AB2.2.B,lab,143,7.114,72089,2.046064769,200,409.2129538,0.0694,5896.440256,,0.164918502,1.881146267,376.2292533,5421.170797,
axenic,blue,AB3.1.B,nat,137,7.119,35233,0.515486693,200,103.0973387,0.044,2343.121333,,0.164918502,0.350568191,70.11363823,1593.491778,1583.047951
axenic,blue,AB3.1.B,lab,143,7.12,68349,1.804451133,200,360.8902265,0.044,8202.050603,,0.164918502,1.63953263,327.9065261,7452.421048,
axenic,blue,AB3.2.B,nat,137,7.118,37878,0.51089141,200,102.1782819,0.044,2322.23368,,0.164918502,0.345972908,69.1945815,1572.604125,
axenic,blue,AB3.2.B,lab,143,7.119,74141,0.266076908,200,53.21538158,0.044,1209.44049,,0.164918502,0.101158406,20.23168115,459.8109353,
nonaxenic,blue,NB1.1.B,nat,137,7.115,278645,2.825784926,200,565.1569852,0.0519,10889.34461,,0.164918502,2.660866424,532.1732848,10253.82052,10312.33802
nonaxenic,blue,NB1.1.B,lab,143,7.115,98608,0.366535701,200,73.30714018,0.0519,1412.468982,,0.164918502,0.201617199,40.32343975,776.9448892,
nonaxenic,blue,NB1.2.B,nat,137,7.115,269027,2.856155512,200,571.2311024,0.0519,11006.37962,,0.164918502,2.69123701,538.247402,10370.85553,
nonaxenic,blue,NB1.2.B,lab,143,7.115,94192,0.366642793,200,73.32855853,0.0519,1412.881667,,0.164918502,0.201724291,40.3448581,777.3575742,
nonaxenic,blue,NB2.1.B,nat,137,7.116,256904,1.9136666,200,382.7333199,0.064,5980.208124,,0.164918502,1.748748098,349.7496195,5464.837805,5453.388539
nonaxenic,blue,NB2.1.B,lab,143,7.116,134247,0.536674582,200,107.3349164,0.064,1677.108069,,0.164918502,0.37175608,74.35121598,1161.73775,
nonaxenic,blue,NB2.2.B,nat,137,7.121,250146,1.906339069,200,381.2678139,0.064,5957.309592,,0.164918502,1.741420567,348.2841134,5441.939273,
nonaxenic,blue,NB2.2.B,lab,143,7.121,131218,4.058581547,200,811.7163094,0.064,12683.06733,,0.164918502,3.893663045,778.732609,12167.69702,
nonaxenic,blue,NB3.1.B,nat,137,7.12,32331,0.437118057,200,87.42361149,0.0678,1289.433798,,0.164918502,0.272199555,54.43991106,802.9485407,794.6806232
nonaxenic,blue,NB3.1.B,lab,143,7.12,73964,2.281009067,200,456.2018134,0.0678,6728.640315,,0.164918502,2.116090565,423.2181129,6242.155058,
nonaxenic,blue,NB3.2.B,nat,137,7.12,32426,0.431512409,200,86.30248187,0.0678,1272.897963,,0.164918502,0.266593907,53.31878144,786.4127057,
nonaxenic,blue,NB3.2.B,lab,143,7.12,75145,0.206251355,200,41.25027104,0.0678,608.4110773,,0.164918502,0.041332853,8.266570615,121.9258203,
axenic,green,AB1.1.G,nat,137,7.119,364337,1.395873721,200,279.1747443,0.127,2198.226333,,0.082996329,1.312877393,262.5754785,2067.523453,2066.631894
axenic,green,AB1.1.G,lab,143,7.118,261010,0.726794292,200,145.3588583,0.127,1144.55794,,0.082996329,0.643797963,128.7595926,1013.85506,
axenic,green,AB1.2.G,nat,137,7.118,359125,1.394741441,200,278.9482882,0.127,2196.443215,,0.082996329,1.311745113,262.3490225,2065.740335,
axenic,green,AB1.2.G,lab,143,7.118,257485,0.67624673,200,135.249346,0.127,1064.955481,,0.082996329,0.593250402,118.6500803,934.2526008,
axenic,green,AB2.1.G,nat,137,7.13,380756,0.911996972,200,182.3993945,0.1078,1692.016646,,0.082996329,0.829000644,165.8001288,1538.03459,1537.528574
axenic,green,AB2.1.G,lab,143,7.129,417497,2.551329451,200,510.2658902,0.1078,4733.449816,,0.082996329,2.468333122,493.6666244,4579.467759,
axenic,green,AB2.2.G,nat,137,7.127,163639,0.91172423,200,182.344846,0.1078,1691.510631,,0.082996329,0.828727902,165.7455803,1537.528574,
axenic,green,AB2.2.G,lab,143,7.126,179483,0.4182466,200,83.64932002,0.1078,775.9677182,,0.082996329,0.335250272,67.05005429,621.9856613,
nonaxenic,green,NB2.1.G,nat,137,7.13,429132,1.754265765,200,350.853153,0.1237,2836.322983,,0.082996329,1.671269436,334.2538873,2702.133285,2691.881424
nonaxenic,green,NB2.1.G,lab,143,7.13,244622,0.659273194,200,131.8546388,0.1237,1065.922706,,0.082996329,0.576276865,115.255373,931.7330075,
nonaxenic,green,NB2.2.G,nat,137,7.13,371048,1.741584214,200,348.3168428,0.1237,2815.819263,,0.082996329,1.658587886,331.7175771,2681.629564,
nonaxenic,green,NB2.2.G,lab,143,7.13,213052,#DIV/0!,200,#DIV/0!,0.1237,#DIV/0!,,0.082996329,#DIV/0!,#DIV/0!,#DIV/0!,
