microbe_level,diet_type,tissue,id,ba_avg,ba_high,ba_low,sa_avg,sa_high,sa_low,iaa_avg,iaa_high,iaa_low
Axenic,control,sal,CA1S,144.599914,191.3355194,97.86430864,-47.25740405,-5.338889857,-89.17591825,255.604762,308.5566389,202.652885
Axenic,control,sal,CA2S,138.0183599,186.183525,89.85319481,-38.16743604,5.033291528,-81.36816361,178.5168967,233.0884781,123.9453153
Axenic,control,sal,CA3S,88.57915633,126.3470441,50.81126859,-37.02864511,-3.153535852,-70.90375437,0.6132275171,43.40459672,-42.17814168
Axenic,benzoic,sal,BA1S,10232.65193,10265.88277,10199.42109,23.46508893,53.27078571,-6.340607854,-31.89655079,5.754296787,-69.54739836
Axenic,benzoic,sal,BA2S,3688.264422,3721.495258,3655.033585,-7.546543466,22.25915332,-37.35224025,-3.97294811,33.67789946,-41.62379568
Axenic,benzoic,sal,BA3S,8554.424634,8590.211688,8518.63758,35.02631292,67.12475561,2.927870232,-33.04582425,7.501242366,-73.59289087
Axenic,salicylic,sal,SA1S,261.0226219,297.1890444,224.8561994,17381.05989,17413.4986,17348.62118,3.111691648,44.08858583,-37.86520253
Axenic,salicylic,sal,SA2S,399.2521656,437.8751753,360.6291558,29416.42756,29451.06965,29381.78547,3.957385853,47.71761624,-39.80284454
Axenic,salicylic,sal,SA3S,190.9906396,227.2853118,154.6959673,19646.96896,19679.5227,19614.41522,-8.492604192,32.62959812,-49.61480651
Axenic,indole,sal,IA1S,192.6878088,239.6377977,145.73782,3.990478054,46.10127901,-38.1203229,46153.96953,46207.16431,46100.77476
Axenic,indole,sal,IA2S,314.8569788,359.1647605,270.5491971,-3.708544856,36.03238419,-43.4494739,41299.91632,41350.11745,41249.71519
Axenic,indole,sal,IA3S,292.118245,337.0090239,247.2274662,-18.81151198,21.45232403,-59.07534798,40269.764,40320.62567,40218.90232
E. mundtii,control,sal,CM1S,264.6788945,330.4994577,198.8583313,234.370061,293.4064251,175.333697,85.88648119,160.4617934,11.31116895
E. mundtii,control,sal,CM2S,306.1105938,361.7361241,250.4850635,-4.499366803,45.39277781,-54.39151141,4.543052368,67.56729722,-58.48119249
E. mundtii,control,sal,CM3S,252.822807,301.912004,203.73361,-38.54958882,5.479929685,-82.57910733,33.40308222,89.02160046,-22.21543602
E. mundtii,benzoic,sal,BM1S,12938.55455,12996.54377,12880.56533,-2.362457317,49.6497501,-54.37466473,50.04163801,115.7439669,-15.6606909
E. mundtii,benzoic,sal,BM2S,16368.70094,16440.27505,16297.12684,225.7918357,289.988721,161.5949503,55.09322247,136.1873557,-26.00091076
E. mundtii,benzoic,sal,BM3S,10669.90905,10722.12894,10617.68917,63.05766039,109.8951839,16.22013688,-36.81584711,22.3497705,-95.98146473
E. mundtii,salicylic,sal,SM1S,359.9967931,429.1528578,290.8407284,17112.4404,17174.46847,17050.41233,322.5791917,400.9336583,244.2247252
E. mundtii,salicylic,sal,SM2S,272.5037025,330.0042506,215.0031543,22073.75326,22125.32716,22022.17936,-20.68713084,44.46152676,-85.83578844
E. mundtii,salicylic,sal,SM3S,195.9248544,256.3089109,135.5407979,41409.23827,41463.39848,41355.07807,19.49828517,87.9139846,-48.91741426
E. mundtii,indole,sal,IM1S,249.5981311,310.3405499,188.8557122,-0.3473200759,54.13430965,-54.8289498,38456.35713,38525.17886,38387.5354
E. mundtii,indole,sal,IM2S,221.4222626,266.9115852,175.9329401,136.7798384,177.5805256,95.97915127,25636.1797,25687.71953,25584.63987
E. mundtii,indole,sal,IM3S,125.3233369,171.3237754,79.32289833,250.1428634,291.4019852,208.8837416,14272.18862,14324.30755,14220.06969
Frass Com.,control,sal,CF1S,323.7323381,379.6618331,267.8028431,98.87878538,149.0435647,48.7140061,160.356928,223.7255677,96.98828839
Frass Com.,control,sal,CF2S,184.9291924,234.0183894,135.8399953,45.44992645,89.47944496,1.420407946,125.8527944,181.4713127,70.23427619
Frass Com.,control,sal,CF3S,185.8398182,241.0155464,130.66409,8.511191522,57.99989561,-40.97751257,64.85475418,127.369369,2.340139343
Frass Com.,benzoic,sal,BF1S,7932.473063,8000.935254,7864.010872,9.787644753,71.1933612,-51.61807169,10.68347658,88.25177794,-66.88482477
Frass Com.,benzoic,sal,BF2S,10029.92569,10130.26978,9929.581596,296.2773333,386.2788491,206.2758175,385.8135694,499.504364,272.1227747
Frass Com.,benzoic,sal,BF3S,6059.686163,6157.163282,5962.209043,56.34647023,143.7765141,-31.08357366,-75.42452056,35.01796565,-185.8670068
Frass Com.,salicylic,sal,SF1S,423.221287,441.2726055,405.1699685,3902.441869,3918.632618,3886.25112,20.03041419,40.48272646,-0.421898068
Frass Com.,salicylic,sal,SF2S,243.1001495,299.8042912,186.3960078,31802.98754,31853.84712,31752.12796,-15.95061215,48.29570947,-80.19693377
Frass Com.,salicylic,sal,SF3S,380.3224545,458.1558961,302.4890128,22887.79868,22957.60975,22817.98762,288.5054066,376.6914222,200.319391
Frass Com.,indole,sal,IF1S,497.7633446,680.5329442,314.993745,807.6536782,971.5850105,643.7223459,20231.68123,20438.7609,20024.60157
Frass Com.,indole,sal,IF2S,426.8944571,581.9716932,271.8172211,38.5936065,177.6868581,-100.4996451,7924.153172,8099.857127,7748.449217
Frass Com.,indole,sal,IF3S,675.9501922,858.7197918,493.1805926,1268.81551,1432.746842,1104.884178,9584.710993,9791.790655,9377.631332