microbe_level,diet_type,id,ba_adjusted_conc_sample_ngperg,ba_adjusted_low_stdev,ba_adjusted_high_stdev,sa_adjusted_conc_sample_ngperg,sa_adjusted_low_stdev,sa_adjusted_high_stdev,iaa_adjusted_conc_sample_ngperg,iaa_adjusted_low_stdev,iaa_adjusted_high_stdev
nonaxenic,benzoic,NB1,3193.344555,3223.650749,3163.038361,32.76363163,39.3562573,26.17100596,-35.60981071,15.0301088,-86.24973021
,,,1594.734434,1625.040628,1564.428241,66464.65394,66471.24656,66458.06131,4099306.76,4099357.4,4099256.12
axenic,SA,528AS1,-9.800953875,28.42335416,-48.02526191,199.3335469,207.6486311,191.0184627,561.1607056,625.0313418,497.2900694
,,,86494.29049,86532.5148,86456.06619,8733.829912,8742.144996,8725.514828,3109.232361,3173.102997,3045.361725
axenic,SA,528AS2,59.11837082,105.6938073,12.5429343,850.2010571,860.3327952,840.069319,229.0564543,306.8813493,151.2315592
,,,2909.863124,2956.43856,2863.287687,19501.51911,19511.65085,19491.38738,-3.812006759,74.01288827,-81.63690178
axenic,IAA,528AI,134.323867,200.5883868,68.05934724,88.38464416,102.799426,73.96986229,19066.77596,19177.50019,18956.05173
,,,67242.51323,67308.77775,67176.24871,#DIV/0!,#DIV/0!,#DIV/0!,836.5129931,947.237222,725.7887641
axenic,IAA,533AI,52.54460507,79.7362411,25.35296903,#DIV/0!,#DIV/0!,#DIV/0!,13790.10218,13835.53785,13744.66651
,,,4242.108269,4269.299905,4214.916633,-9.014482996,-3.099379355,-14.92958664,14698.11885,14743.55452,14652.68318
axenic,control,528AC1,23.38452588,55.24355632,-8.474504564,45.80265965,52.73307997,38.87223933,63.88962448,117.1242452,10.65500372
,,,23011.41466,23043.27369,22979.55563,9071.204167,9078.134587,9064.273747,37700.63659,37753.87121,37647.40197
nonaxenic,SA,NS1,46.54266452,71.10285191,21.98247713,6880.143736,6885.486411,6874.801062,80.17058027,121.209251,39.13190949
,,,94358.28471,94382.84489,94333.72452,11.45868776,16.80136202,6.116013505,21470.00375,21511.04242,21428.96508
nonaxenic,SA,NS2,24.30939586,48.14768637,0.4711053561,8726.31705,8731.502687,8721.131412,118.7565673,158.5889896,78.92414501
,,,713.5330186,737.3713091,689.6947281,216503.8774,216509.0631,216498.6918,0.4102424309,40.24266474,-39.42217988
nonaxenic,IAA,NI1,67.35798794,116.0615449,18.65443097,117.1637035,127.75838,106.5690271,20176.78012,20258.16099,20095.39926
,,,23712.34119,23761.04475,23663.63763,9095.1649,9105.759577,9084.570224,82072.60153,82153.98239,81991.22066
nonaxenic,IAA,NC1,55.28675744,75.38747115,35.18604373,80.68327477,85.05586216,76.31068738,33.30223844,66.88938333,-0.2849064516
,,,37801.01399,37821.11471,37780.91328,3779.627603,3784.00019,3775.255015,273813.4315,273847.0186,273779.8444
nonaxenic,control,NC2,70.51026655,101.1147987,39.90573444,2589.253286,2595.910811,2582.595762,-7.667887753,43.47053794,-58.80631344
,,,50181.07766,50211.68219,50150.47313,115627.6865,115634.344,115621.0289,1622.998671,1674.137097,1571.860246
nonaxenic,control,NC1I,41.68904553,80.50998689,2.868104175,71.07258555,79.51745776,62.62771334,1627.495119,1692.362695,1562.627542
,,,1110.707394,1149.528336,1071.886453,1119.433822,1127.878695,1110.98895,6565.400801,6630.268377,6500.533224
nonaxenic,control,NC2I,28.61326745,61.98260971,-4.756074808,144.6568649,151.9158293,137.3979005,89.22963934,144.9879049,33.47137376
,,,44010.98842,44044.35777,43977.61908,25824.6375,25831.89647,25817.37854,165.4223521,221.1806177,109.6640865
diet,SA,SD1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,-194.9473234,-161.2159268,-228.67872,-11.18252321,-3.844799706,-18.52024671,-51.65672257,4.706515148,-108.0199603
diet,SA,SD2,44.11136337,78.62285703,9.599869715,54511.7247,54519.23212,54504.21728,1668.02005,1725.686785,1610.353314
,,,21822.83391,21857.34541,21788.32242,56.74028389,64.24770498,49.2328628,167632.629,167690.2958,167574.9623
diet,SA,SD3,62.60982236,97.15327111,28.06637362,153199.11,153206.6243,153191.5956,-4.876549273,52.8435812,-62.59667975
,,,9045.637298,9080.180747,9011.09385,11322.23891,11329.75328,11314.72454,-52.84846134,4.871669135,-110.5685918
diet,IAA,ID1,17.54503502,50.67729492,-15.58722487,51.58477078,58.79216171,44.37737984,380041.4535,380096.8156,379986.0914
,,,11592.68585,11625.81811,11559.55359,205146.6566,205153.864,205139.4492,-41.29090544,14.07120905,-96.65301993
diet,IAA,ID2,114.5445959,151.665914,77.42327786,12.1721623,20.24730876,4.097015834,672159.981,672222.0086,672097.9534
,,,12122.96838,12160.0897,12085.84706,13817.87414,13825.94929,13809.799,541553.3347,541615.3623,541491.3071
diet,control,CD3,45.17591471,81.78722447,8.56460495,169.0836887,177.0478911,161.1194864,45.53069521,106.7061034,-15.64471295
,,,144031.3522,144067.9635,143994.7409,131952.7906,131960.7548,131944.8264,39517.42398,39578.59938,39456.24857
diet,control,CD4,-2.153046156,31.27609779,-35.5821901,53.24638673,60.51836002,45.97441344,38.66088756,94.51907834,-17.19730322
,,,4850.819089,4884.248233,4817.389945,88571.16214,88578.43411,88563.89017,32258.03717,32313.89536,32202.17898
diet,control,CD5,44.33370825,83.23561091,5.431805597,6.160326783,14.62281082,-2.302157258,-34.5033314,30.4995267,-99.50618949
,,,7110.213871,7149.115773,7071.311968,321195.7389,321204.2014,321187.2764,71481.58047,71546.58333,71416.57762
diet,control,CD6,41.74277098,75.29216364,8.193378311,7.297728595,14.59586007,-0.0004028753079,327.4081795,383.4672991,271.34906
,,,149589.8417,149623.3911,149556.2923,684996.4618,685003.7599,684989.1636,#DIV/0!,#DIV/0!,#DIV/0!